Category,ID,Label,Definition
,T4FS:0000012,data stewardship activity,"A specific deed, action, function or sphere of action in relation with the role of data stewardship"
data stewardship activity,T4FS:0000021,exposing data,"Exposing data is the activity of exposing your data to collaborators, the public, or other interested parties. A data producer makes the data accessible to external users in a machine- and/or human-readable way."
exposing data,T4FS:0000019,data registration,A curation process on a data object by which it receives a persistent object identifier (PID) from a trusted registration authority. Registration must be accompanied by the step(s) to upload the data object to a persistent repository.
exposing data,T4FS:0000093,"use of persistent, resolvable identifiers (pids)",The use of persistent identifiers or PIDs to uniquely and persistently identify an entity.
exposing data,T4FS:0000106,publish data,
publish data,T4FS:0000042,"ethical application of patents, licenses",
"ethical application of patents, licenses",T4FS:0000097,understand legal background of patents,Learn about the types of patents and its legal implications. Understand the application procedure of patents.
"ethical application of patents, licenses",T4FS:0000148,understand legal background of licensing,"Learn about  data licensing, the types of data licences and its legal implications. Understand the application procedure of data licences."
"ethical application of patents, licenses",T4FS:0000286,patent application,Choose the proper type of patent for the project data and apply for the patent chosen.
"ethical application of patents, licenses",T4FS:0000345,select and apply license,Choose the proper license considering types of project data and clearly indicate (apply) the license chosen in the project work.
publish data,T4FS:0000084,engaging in open innovation beyond academia,
engaging in open innovation beyond academia,T4FS:0000172,investigate open innovation opportunities,Explore the potential application domain/sociental implication of the project work and the communities of users/partners.
engaging in open innovation beyond academia,T4FS:0000390,engage innovation partners,"Learn about innovation partners' interests and concerns, analyze them and position the project work/outcome properly. Reach out to innovation partners with proactive and pragmatic innovation plan which is in compliance with FAIR principles."
publish data,T4FS:0000193,open access publishing,
open access publishing,T4FS:0000092,understand open access publishing,"Know about the open access publishing procedure, journals' policies on OA publishing, project funder and institutions policy as well as the financial support on OA publishing"
publish data,T4FS:0000298,publish output in a repository,"Deposit research output (software, data and publication together with documentation) in  previousy selected repositories."
publish data,T4FS:0000469,access control and management,
access control and management,T4FS:0000075,apply data access policy,Define data access policy based on project requirements. Provide access to autorised parties.
access control and management,T4FS:0000322,manage access control,Monitor the authorised parties' access to data and keep it up to date.
access control and management,T4FS:0000464,understand data ownership and access policies,"Learn about data copyright laws, licennsing and other legal aspects of data access. Understand the application of those laws at the project level."
publish data,T4FS:0000491,document in lay terms,"Know the purpose of the public use, choose the proper subjects for the audience and describe the project work for the purpose/audience chosen."
exposing data,T4FS:0000133,cite contributions,Cite contributions to data work in published literature which draws upon that data.
exposing data,T4FS:0000160,metadata exposure,"Metadata exposure is the process of finding, identifying, selecting and acquiring/obtaining access to a metadata entity."
exposing data,T4FS:0000175,fair evaluation of repositories for data deposition,"To be able to define and deploy appropriate criteria, based on the FAIR principles, to identify the appropriate repository for a dataset. This may, for example, involve discovering the mark-up of the repository, the exchange formats and data models used, and the licensing information for each repository. Tools such as the FAIR evaluator or FAIRshake may be used to assess the FAIRness of a repository based on human-entered questionnaires or FAIRsharing resource metadata."
fair evaluation of repositories for data deposition,T4FS:0000011,choosing the appropriate reporting guideline for your data,"To be able to choose the appropriate reporting guideline/checklist for your data, based on community-adopted standards."
fair evaluation of repositories for data deposition,T4FS:0000294,choosing the appropriate terminology for your data,"To be able to research and identify the appropriate taxonomy for your project. This may involve using resources such as FAIRsharing, which captures metadata on taxonomies and provides an assessment of their FAIRness."
fair evaluation of repositories for data deposition,T4FS:0000401,choosing the appropriate model or format for your data,"To be able to choose the correct data model and/or exchange format for your data, based on the repository where you plan to deposit your data."
